variable,category,present_in_genrocket,dataset_column,target_text,expected_values,qa_note,measure,observed,target_low,target_high,target_type,status
anxiety_flag,Clinical Conditions,True,anxiety_flag,18%-28% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN/YELLOW: Marginal rate is within the proposed 18%-28% range, but it should not be generated independently. Anxiety should positively correlate with depression_flag, behavioral_health_risk_flag, substance_use_flag, ED use, engagement difficulty, and notes_escalation_flag. If behavioral_health_risk_flag is 40.7%, anxiety at 27.3% is fine only if many BH-risk members have anxiety/depression/SUD overlap.",yes_rate,0.126,0.18,0.28,range,FAIL
asthma_flag,Clinical Conditions,True,asthma_flag,12%-18% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN: Marginal rate is within the proposed range. Check that asthma has modest positive correlation with ED visits, PCP visits, pharmacy use, and possibly younger/non-elderly members. It should not strongly correlate with CKD/CHF unless the generator is creating general comorbidity burden.",yes_rate,0.076,0.12,0.18,range,FAIL
behavioral_health_risk_flag,Clinical Conditions,True,behavioral_health_risk_flag,20-30% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW/RED: Observed 40.7% is materially above Ben's 20%-30% recommendation. This can be defensible for a BH-enriched complex-care cohort, but if this is a standard Medicaid/CCM population it may overpower anxiety, depression, and SUD. Ensure it is a composite that mostly overlaps with depression/anxiety/SUD and higher outreach/escalation, not an independent broad flag.",yes_rate,0.414,0.2,0.3,range,FAIL
chf_flag,Clinical Conditions,True,chf_flag,14% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN: 14.9% aligns with the 14% target for a complex-care sample. It should correlate with older age, dual_eligible, CKD, diabetes, admissions, specialist visits, total cost, current_risk_score, and percolator_clinical_score. If CHF appears in young/low-risk members too often, the synthetic clinical structure is weak.",yes_rate,0.044,0.11500000000000002,0.165,single_pct_plus_tolerance,FAIL
ckd_flag,Clinical Conditions,True,ckd_flag,15% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN: 15.3% aligns with target. CKD should cluster with diabetes, CHF, older age, dual eligibility, specialist use, pharmacy burden, higher cost, and clinical risk. A low correlation with diabetes/CHF would be a synthetic-data problem.",yes_rate,0.085,0.125,0.175,single_pct_plus_tolerance,FAIL
copd_flag,Clinical Conditions,True,copd_flag,11% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: Observed 17.4% is above the 11% recommendation. That may be acceptable for complex care, but it should be concentrated among older/high-utilization members and correlate with ED visits, admits, specialist visits, and total cost. If independent, it will inflate respiratory burden unrealistically.",yes_rate,0.104,0.08499999999999999,0.135,single_pct_plus_tolerance,PASS
depression_flag,Clinical Conditions,True,depression_flag,20%-30% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN/YELLOW: 28.7% is near the top of the proposed range. It should strongly overlap with behavioral_health_risk_flag and moderately with anxiety, SUD, SDOH burden, outreach attempts, and lower engagement. If depression is common but BH risk is assigned separately, the dataset may create contradictory behavioral-health profiles.",yes_rate,0.116,0.2,0.3,range,FAIL
diabetes_flag,Clinical Conditions,True,diabetes_flag,28% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN/YELLOW: 31.4% is above Ben's 28% target but plausible for complex care. It should correlate with CKD, pharmacy count, PDC, PCP/specialist use, total cost, clinical score, and risk tier. If diabetes is independent of CKD/pharmacy/cost, the synthetic clinical logic needs tightening.",yes_rate,0.202,0.255,0.30500000000000005,single_pct_plus_tolerance,FAIL
pregnancy_flag,Clinical Conditions,True,pregnancy_flag,3%-6% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","RED: Current distribution is all 0, which makes the variable unusable and inconsistent with the proposed 3%-6%. If retained, positives should be limited to appropriate age/gender logic and correlate with PCP/OB-related utilization and Medicaid plan context. Otherwise drop it to avoid a dead feature.",yes_rate,0.21,0.03,0.06,range,FAIL
substance_use_flag,Clinical Conditions,True,substance_use_flag,8%-15% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: Observed 16.0% is slightly above the 8%-15% recommendation. This is plausible for CCM but should overlap with behavioral_health_risk_flag, depression/anxiety, opioid_flag, ED use, housing instability, and escalation. If SUD is independent from BH and opioid fields, it will look synthetic in the bad way.",yes_rate,0.292,0.08,0.15,range,FAIL
age,Demographics,True,age,Picture,Continous integer: Adult member age; expected valid range approximately 18-100.,"GREEN/YELLOW: Range/mean look plausible, but age must drive other variables. Older members should be more likely dual_eligible, CHF, CKD, COPD, polypharmacy, specialist visits, admits, cost, and higher clinical risk. Pregnancy should be age-constrained. A flat age relationship would weaken realism even if the marginal distribution is fine.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
dual_eligible,Demographics,True,dual_eligible,18%-25% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW/RED: Observed 28.3% is above the 18%-25% recommendation and does not line up cleanly with plan_type Dual at 20.1%. Decide whether dual_eligible is a member-level flag and plan_type is product type; if so, most dual_eligible=1 should map to Dual/Medicare-related plan categories. This needs a consistency check.",yes_rate,0.25,0.18,0.25,range,PASS
living_alone_flag,Demographics,True,living_alone_flag,Picture,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN: 24.9% is plausible. It should correlate with older age, dual eligibility, SDOH score, transportation barriers, outreach difficulty, and possibly lower successful_contacts. It should not be strongly interchangeable with housing_instability; living alone and unstable housing are related but distinct constructs.",categorical_profile,2.0,,,,PROFILE_ONLY
high_cost_drug_flag,Pharmacy,True,high_cost_drug_flag,5%-10% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW/RED: Observed 14.9% exceeds the 5%-10% recommendation. If kept this high, it should strongly align with total_cost_last_6m, specialist visits, rx_count_last_6m, polypharmacy, diabetes/CKD/CHF, and pharmacy_review_flag. Otherwise it will add cost signal without clinical support.",yes_rate,0.047,0.05,0.1,range,WARN
med_adherence_pdc,Pharmacy,True,med_adherence_pdc,Picture,Continuous proportion from 0 to 1.,"GREEN/YELLOW: Mean 0.76 and median 0.78 are plausible, but PDC should correlate negatively with high-risk SDOH, BH/SUD, transportation barriers, and polypharmacy complexity, and positively with PCP engagement. Avoid making adherence independent of outreach and pharmacy review variables.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
opioid_flag,Pharmacy,True,opioid_flag,5%-10% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: Observed 13.5% is above the 5%-10% recommendation but plausible in complex care. It should correlate with substance_use_flag, behavioral_health_risk_flag, pain/comorbidity proxies, pharmacy review, ED visits, and notes escalation. If opioid use is not enriched among SUD/BH risk, it will feel random.",yes_rate,0.149,0.05,0.1,range,FAIL
polypharmacy_flag,Pharmacy,True,polypharmacy_flag,15%-25% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","RED/YELLOW: Observed 8.6% is below Ben's 15%-25% target, while rx_count_last_6m averages 6.2 and high_cost_drug_flag is 14.9%. That combination is internally strained. Either increase polypharmacy prevalence or lower medication-count/high-cost-drug intensity so pharmacy variables tell a coherent story.",yes_rate,0.176,0.15,0.25,range,PASS
